fullVisitorId,visitStartTime,date,deviceCategory,isMobile,operatingSystem,browser,country,city,trafficSource,trafficMedium,trafficCampaign,isFirstVisit,totalVisits,totalHits,totalPageviews,totalTimeOnSite,productPagesViewed,addedToCart
843685434320284092,1483314458,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Jeddah,google,cpc,(not set),0,1,1,1,0,0,0
353399298764494492,1483328861,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),0,1,1,1,0,0,0
353399298764494492,1483328792,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),0,1,1,1,0,0,0
353399298764494492,1483328967,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),0,1,1,1,0,0,0
353399298764494492,1483328977,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),0,1,1,1,0,0,0
3660571206921555004,1483281761,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Jeddah,google,cpc,(not set),1,1,1,1,0,0,0
4678443452086689236,1482778657,2016-12-26 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Jeddah,google,cpc,(not set),1,1,1,1,0,0,0
353399298764494492,1483328694,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
4625609018806719994,1482945388,2016-12-28 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
2858819999890409439,1488964245,2017-03-08 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Jeddah,google,cpc,(not set),1,1,1,1,0,0,0
9036240865577493954,1483285536,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Jeddah,google,cpc,(not set),1,1,1,1,0,0,0
7434067823399414824,1483308781,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
8161586299930663280,1482672223,2016-12-25 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
9388940861527054840,1483920658,2017-01-08 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
929115428289715139,1483281602,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Jeddah,google,cpc,(not set),1,1,1,1,0,0,0
2763424395360110906,1482654187,2016-12-25 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
2837829512230243072,1482740863,2016-12-26 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Jeddah,google,cpc,(not set),1,1,1,1,0,0,0
2108417356918538606,1482755456,2016-12-26 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
8892969304354582379,1482763460,2016-12-26 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
5306190266403724424,1482945985,2016-12-28 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
869791346724288788,1482791034,2016-12-26 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
382289631715858068,1482934886,2016-12-28 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
789738669645102314,1482699135,2016-12-25 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
3572286360489812608,1483296253,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
9249874308512774520,1483295943,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
3967965323758379384,1482672160,2016-12-25 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
873793878412528901,1483293997,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
7649620966070939527,1482671740,2016-12-25 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
9540907026424477773,1482923107,2016-12-28 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
4807589377142166197,1482698334,2016-12-25 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
1409505456670662422,1482751778,2016-12-26 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
1385154350254256212,1482922545,2016-12-28 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
6117035079720094723,1483301649,2017-01-01 00:00:00.000000 UTC,mobile,true,iOS,Safari,Saudi Arabia,Riyadh,google,cpc,(not set),1,1,1,1,0,0,0
9627338704007022383,1495183196,2017-05-19 00:00:00.000000 UTC,mobile,true,iOS,Safari,India,Ahmedabad,google,cpc,(not set),0,1,1,1,0,0,0
9840366284738828432,1493808458,2017-05-03 00:00:00.000000 UTC,tablet,true,iOS,Safari,India,Chennai,google,cpc,(not set),0,1,1,1,0,0,0
4134125352502971819,1483900476,2017-01-08 00:00:00.000000 UTC,mobile,true,iOS,Safari,India,Chennai,google,cpc,(not set),1,1,1,1,0,0,0
788338050777518135,1477855925,2016-10-30 00:00:00.000000 UTC,tablet,true,iOS,Chrome,India,Chennai,google,cpc,AW - Dynamic Search Ads Whole Site,1,1,1,1,0,0,0
6949133763490538638,1489052106,2017-03-09 00:00:00.000000 UTC,mobile,true,iOS,Safari,India,Chennai,google,cpc,AW - Accessories,1,1,2,2,27,0,0
1107224204204973152,1477848366,2016-10-30 00:00:00.000000 UTC,tablet,true,iOS,Safari,India,Chennai,google,cpc,AW - Dynamic Search Ads Whole Site,1,1,2,2,11,0,0
6911161324069654134,1493717002,2017-05-02 00:00:00.000000 UTC,tablet,true,iOS,Safari,Japan,Shinjuku,google,cpc,(not set),0,1,1,1,0,0,0
9492494599303998241,1476344212,2016-10-13 00:00:00.000000 UTC,mobile,true,iOS,Safari,Japan,Osaka,google,cpc,(not set),0,1,1,1,0,0,0
4401325363812731388,1490645969,2017-03-27 00:00:00.000000 UTC,mobile,true,iOS,Safari,Canada,Montreal,google,cpc,AW - Accessories,1,1,9,8,354,1,0
4789532199911198751,1483900457,2017-01-08 00:00:00.000000 UTC,mobile,true,iOS,Safari,France,Paris,google,cpc,(not set),1,1,1,1,0,0,0
2554684219562363494,1482774402,2016-12-26 00:00:00.000000 UTC,mobile,true,iOS,Safari,Russia,Moscow,google,cpc,(not set),1,1,2,2,1753,0,0
3572331587418147063,1489859335,2017-03-18 00:00:00.000000 UTC,mobile,true,iOS,Safari,Malaysia,Kuala Lumpur,google,cpc,(not set),0,1,1,1,0,0,0
